desc
"西湖边的一个小小过街通道竟然美的有些过分。之所以如此吸引人，是因为玻璃顶面非常干净，让整个空间明亮通透。杭州真的是一座在细节上让人喜欢的城市。这里的绿色特别舒适，充满了治愈感。每天都能发现新的惊喜。从这个通道走到西湖的南山路，沿途有一大片高大的梧桐树，中国美术学院也近在咫尺，散步非常惬意。

拍摄建议：使用手机拍摄或携带广角镜头，最好选择中午有阳光的时候前往，这样可以捕捉到绝美的夏日感觉。下雨天也不错，雨水落在屋顶上形成的圆圈很有氛围感。

位置：杭州定安路涌金门地下通道

我是大之喵，一个热爱探索城市的旅行者。

#记录我的城市# #自然风光分享# #假日citywalk# #杭州旅游# #西湖# #浪漫生活的记录者# #周末去哪儿# #治愈系# #氛围感# #暑你会晒#"
"接下来的杭州将是春和景明🌸。比起人挤人的西湖，樱花季的中国院子更是美到极致。小桥流水、亭台楼阁，栽满了樱花。江南庭院的中式美学令人赞叹不已！等到蓝调时分，樱花在暖光烘托下，冷暖对比，更加梦幻🌙。下个月，约上小伙伴，我们樱花树下不见不散。

🌸 中国院子·梦溪苑

#天目里# #杭州探店# #下午茶# #100家探店计划# #天目里美食# #下午茶打卡# #天目里展览# #杭州快闪# #天目里集市#"
杭州的枫叶红了，银杏也灿烂了一片金黄。平时再熟悉不过的普通街道，在此刻都有了电影的画面感。#citywalk# #冬季穿搭# #进口面料# #小香风# #水貂# #氛围感穿搭# #镜头下的秋天有多美# #银杏# #枫叶# #杭州#
"路线推荐：从龙翔桥地铁站下车，沿着湖边步行至断桥，沿途景色非常美丽。可以边走边记录下美丽的风景。最后到达断桥，在星巴克拍摄那扇窗户的蓝调照片。

相关话题：#西湖美景 #冬天的西湖也好美 #Citywalk #冬日慢生活 #落日 #蓝调

提及对象：@摄影薯 @生活薯 @薯队长 @薯条小助手 @户外薯"
"从面包甜品到咖啡，萍水街值得逛一下午。

地铁：五号线萍水街站
自驾：车可以停到城西银泰

巧克力专门店“巧可栗栗”：品种超多，可以送人。有巧克力豆试吃，贴纸好看，还有可爱的巧克力造型小夹子。

陈文鼎：买一送一的珍珠奶茶，很适合跟小姐妹人手一杯。

慢熟：社区面包店，装修好看，面包种类丰富，每次进去都要买一两个，他们家的周边也很好看。

甜包谷：这家店也好大，面包种类多，还有可爱的小蛋糕，3元一个的昨日面包，捡漏。

海绵客厅：到门口了，没进去，外面看看店铺很文艺，好适合一个人在里面安静待着。

OTTO gelato：八桶，不是常规口味的冰淇淋，可以尝尝再选择购买，虽然口味名字奇怪，但有点好吃。

沃康Vollkorn Blue：韩系首尔笑脸面包，在锦绣公园里，空间大，面包品种丰富，圣诞新品颜值口味在线，好好拍出片。

AUFAUF：有各式各样的巴斯克。

立文春、立文夏、泉市鲜活牛肉：逛累了，就去吃一顿正餐。

鸟鸟好吃店：吃了，一般，性价比不高。

走不动了，剩下的半条路下次再去。还有很多好吃的店。

人生无限公司：有简餐，适合去吃个brunch，下次上午去。

囤囤馒头店：超多花式馒头，将馒头做不同形状，各种口味的馅料，之前在面包集市买过，好吃。

澄沙ann：听说布丁芭菲杯和焦糖布丁好吃，记下来。

#宝藏甜品店分享
#甜点日常
#周末去哪儿
#杭州
#一口惊艳的gelato
#条条小马路都好吃
#美食日常
#杭州周末去哪儿
#杭州Citywalk
#杭州探店
#面包店
#杭州旅游
#citywalk
#100家探店计划
#攻略
#打卡
#COTD咖啡探店
#城西
#5号线萍水街
#杭州拍照
#旅游
#生活薯
#美食薯
#日常薯
#浪漫生活的记录者
#下午茶"
"还有不到十天就春节了，上次给大家分享了大运河附近的年味City walk，这条老底子杭州市井年味的线路也非常值得一走。

🚶‍♀️Citywalk路线：地铁“吴山广场”站👉河坊街👉大井巷👉鼓楼👉德寿宫👉地铁“江城路”站
⏰用时：2小时

商城介绍：

mobx河坊街：
如果时间充裕，河坊街值得深入逛一逛，步行街上虽热闹但很多网红店，建议去小巷。
▫️胡庆余堂中药博物馆（08：30 - 17：00）
全国首家中药专题博物馆，在这里，我们可以深入了解中华五千年的中药文化。
▫️江南铜屋（09：00 - 22：00）
江南铜屋是由朱炳仁父子精心打造的艺术殿堂，整座建筑除墙面地面外全为铜质结构装饰。

mobx大井巷：
融合了百年老字号与众多新兴宝藏店铺，承载着老杭州的珍贵记忆，同时又充满了现代活力☕🍵

mobx鼓楼：
始建于五代时期的南朝，它静静见证着杭州的千年变迁，是杭州的标志性古建筑之一。

mobx鼓楼堂：
1885年的基督教堂，1931年改建为中国宫殿式教堂，进到教堂里黄色玻璃让进来的光线全是金黄的圣光。

mobx南宋书店：
在穿过鼓楼门之前，往左看有一幢灰色的大玻璃窗的建筑，享有“浙江最美书店”的美名，青砖黑瓦和现代材质相呼应，是普利兹克建筑奖获得者王澍的建筑作品。

mobx德寿宫：
杭州人自己的小故宫。其内宫殿与园林并置，宋高宗、吴皇后、宋孝宗、谢皇后等历史名人曾居住于此，见证了南宋的兴衰。从北门出去后, 宫外有一面红墙，大约有一百多米长，每年都会精心布置新年装置。

#城市漫步计划# #杭州旅游# #chinatravel# #城市探寻计划# #中式旅行天花板# #一眼就心动的中国古建# #杭州旅游攻略# #河坊街# #德寿宫红墙# #派兔旅行#"
"分享一条杭州老街Citywalk，城站附近的五柳巷街区。绿荫河道、小桥流水、白墙黛瓦，一路上有很多咖啡甜品店。还可以花3块钱坐最美的水上巴士，度过慢悠悠的老城时光。

#杭州citywalk #杭州旅游 #杭州旅行攻略 #杭州一日游 #杭州小众拍照 #杭州周末去哪儿 #杭州探店 #五柳巷"
"也许这条路线杭州本地的朋友已经熟悉了，推荐给更多从外地过来探访书店的朋友吧——虽然小河直街已经有些不堪入目了（比起三年半前书店刚成立时已经面目全非），但是书店附近还是有值得散步观光的地方的。

下面是文字版的路线指南，大家也可以在逛完书店后去走走：
1. 运河广场
2. 拱宸桥
3. 桥西历史文化街区
4. 小河公园
5. 再见城市旧书店

#杭州小河直街# #杭州京杭大运河# #拱宸桥# #小河公园# #旧书店# #杭州书店# #杭州再见城市旧书店# #杭州city_walk#"
体验两天秋季的温度！户外露营风格的风衣外套！秋天了，杭州的citywalk可是有山的！所以有山的城市！citywalk真的很幸福。#男士穿搭# #OOTd# #露营穿搭# #户外露营# #citywalk# #cityboy穿搭#
"分享一条秋日徒步路线，全程既可赏秋看枫叶，还能爬山逛茶园，俯瞰西湖和钱塘江，全程约7公里，非常适合亲子游玩和大学生周末团建。

路线分享：九溪 → 九溪烟树 → 理安寺 → 贵人峰 → 虎跑

1. 地铁水澄桥B口出，乘坐公交接驳线到九溪站下车。
2. 九溪烟树：从九溪公交站一路走，随处可见的枫叶，而且一路上能看到茶园溪水。有观光车可以坐，从千禧酒店上车到九溪烟树，票价8元，但步行观赏枫叶更美。
3. 理安寺：现在没有寺庙，主要是吃饭的地方，但可以免费参观。枫叶打卡点：理安寺门口、寺内伏虎禅师雕塑附近。
4. 贵人峰：从理安寺出来，往马儿山方向走，大约爬行1小时可以到达贵人峰。登顶可以俯瞰西湖和钱塘江，旁边还有大片茶山，景色非常美丽。
5. 虎跑：一路下山就到了虎跑。进入不需要门票，因为都用体力替代了。枫叶和建筑相得益彰，记得在茶壶边拍摄枫王。

**游玩提示**：
- 这条路线需要爬山，爬山路程约1小时，请记得穿舒适的鞋子。
- 建议自备面包等小零食，以补充体力。
- 九溪观光车路线：千禧酒店 → 九龙苑 → 九溪烟树 → 杨梅岭村。单站单程5元，两站单程8元，三站单程12元。

#杭州周末去哪儿 #杭州citywalk #不辜负每个周末 #九溪 #虎跑 #轻松徒步路线 #又到登山赏红叶的好时节 #杭州旅游 #枫叶"
"睡到自然醒，带上水果小零食和司机出发。驾车至三台山路上选个餐厅吃个午饭，车就可以一直免费停在餐厅里了，完美解决了西湖景区停车难的问题（附近停车场基本10元一小时）。 

遛弯主路线：起点三台山路 -> 乌龟潭 -> 浴鹄湾 -> 花港观鱼 -> 返程途径于谦祠 -> 回到起点开车回家（见图1路线）。 

闭环全程大约10000步，消耗约280大卡，中间有很多小亭子和椅子可以休息，以平路为主，几乎不用爬台阶，走走停停大概需要2.5-3小时。最主要是这条路线人不密集，天气好的时候景色也很美，全文使用原图无滤镜，非常适合孕后期的小姐妹们周末遛弯。"
"最近发现了一条新的西湖徒步路线，被誉为终极森林氧吧，有山有水有意境，拍照也非常漂亮！看完这个视频你就能学会怎么走了。路线如下：

- 九溪
- 九溪烟树
- 理安寺
- 杨梅岭
- 上满觉陇
- 下满觉陇
- 汤屋
- 四眼井

想要路线图的话可以在视频中截图，或者后台发送“t”给我。

#杭州 #杭州旅游 #杭州徒步 #杭州西湖旅游 #杭州西湖徒步 #徒步 #徒步路线推荐 #杭州徒步路线 #九溪 #九溪十八涧 #九溪烟树 #九溪徒步 #杨梅岭 #杨梅岭村 #满觉陇 #满觉陇桂花 #桂花 #满觉陇汤屋 #千与千寻汤屋 #汤屋 #四眼井 #下满觉陇 #上满觉陇 #周末 #周末遛娃 #秋游记 #周末去哪儿玩 #周末快乐碎片 #周末徒步 #西湖景点 #西湖 #西湖美景 #秋季 #citywalk #旅游 #旅游攻略"
"请推荐给即将来杭州旅游的朋友。杭州植物园内拥有六千多种植被，被誉为植物博物馆。开放时间为8:30-16:30，门票为10元，但早上8点前或下午5点后可免费入园。

出行建议：可以直接打车至植物园北门，或者乘坐89路公交车到浙大玉泉站，步行约10分钟即可到达植物园北门。

游览路线：从植物园北门（入口）开始，依次游览山水园、玉泉鱼跃、百草园、韩美林艺术馆、水生植物区，最后从植物园青芝坞门（出口）离开。
- 山水园中的睡莲在早上7:00至下午15:00期间盛开，岸边也适合拍照，想要观赏睡莲的朋友请注意这个时间段。
- 玉泉鱼跃里有巨大的肥美鱼类，每条都比我的大腿还要粗壮！
- 韩美林艺术馆无需预约，开放时间为周三至周一的9:00-16:30，周二闭馆。想要拍摄大佛头的朋友，周二闭馆时可以正常在9:00-18:00期间参观。
- 水生植物区内有大片的草坪，走累了可以坐在路边的椅子上晒太阳，非常治愈人心。

结束游览后，可以从青芝坞门离开，顺便逛逛青芝坞，这是一个环境优美的生活区，还有许多餐厅可供用餐。

#一起去山林吸氧#
#一个人的旅行#
#旅游攻略#
#杭州#
#徒步#
#徒步路线推荐#
#游玩攻略#
#假日citywalk#
#人文景点分享#
#大自然#
#野餐#"
"杭州这条街太适合面包和咖啡爱好者citywalk了。推荐地点如下：

1. 皮师爸爸马卡龙
2. 红色跑车蛋糕世界
3. 阿嬷的糖水铺
4. 村口大树
5. 小狗面馆
6. AZAHAR安莎烘焙
7. Really Cool古着店
8. 吉市cafe
9. 冰喜福雪冰·鲜奶·甜品
10. Black Burger黑汉堡
11. Cycle Cycle

相关话题：
- #假日citywalk
- #甜品烘焙
- #杭州citywalk
- #杭州美食
- #杭州旅游
- #面包脑袋
- #咖啡脑袋"
"杭州过年氛围越来越浓了！藏在杭州老市区的这条经典Citywalk路线很值得一逛，提前来感受老杭城的烟火气年味，一路还能逛吃逛喝。以下是详细的路线图：

### 年味Citywalk路线：
1. 五柳巷
2. 德寿宫
3. 大马弄
4. 城隍牌楼
5. 中山南路
6. 鼓楼
7. 大井巷
8. 河坊街

#### 五柳巷：
这里是一条安静的老居民房小巷，有一些咖啡店和手作店，已经布置了新年布景。推荐“什么鬼”的舒芙蕾很好吃。

#### 德寿宫：
德寿宫北出口的红墙非常有年味，阳光洒在红墙上光影斑驳，非常适合拍照。入内参观可在公众号免费预约。

#### 大马弄：
这里是杭州烟火气十足的菜市场，有很多地道的美食小吃，临近过年很多店铺门口晒着成片的酱鸭咸鱼，年味气息扑面而来。美食推荐：釜山小吃、周萍粽子、永康肉麦饼、城隍豆浆、千岛湖豆腐饼、小左金元宝蛋饺、蒋师傅酥鱼、甜酒酿、葱包烩。

#### 城隍牌楼：
打卡好运来礼品店，超多喜庆年货，红红火火过大年！

#### 中山南路：
春风茶馆门口的年味装饰很好看，梧桐大道拍照也很好看，沿途有很多美食店。美食推荐：三毛烤鸡、泮芳春煎饺、游埠豆浆、孙奶奶葱包烩。

#### 鼓楼 - 大井巷 - 河坊街：
游客必去的商业景点，临近过年这里也有很多年味布置。大井巷有很多咖啡店和创意手作店。南宋书房建筑空间感很强，晚上门口会有驻唱。

希望这个路线能让你感受到老杭州的独特魅力！"
"杭州必打卡！五个超美艺术街区，文艺范儿全靠这里了！

1. **东巢艺术公园**
   - 特色：东巢艺术公园位于杭州市萧山区，是一个集艺术、文化、休闲于一体的综合性艺术园区。园区内的建筑风格多样，色彩鲜明，非常适合拍照。园区内有许多特色小店、咖啡馆、书店等，可以当成单独的背景来拍。
   - 地址：杭州市萧山区萧杭路689号
   - 开放时间：全天开放
   - 交通：地铁2号线至建设二路站，步行即可到达。

2. **五七公社**
   - 特色：五七公社位于杭州市萧山区，是一个充满复古工业风格的艺术园区。园区内的建筑多为旧厂房改造，保留了浓厚的工业气息，适合拍摄复古风格的照片。
   - 地址：杭州市萧山区萧然南路1288号
   - 开放时间：全天开放
   - 交通：地铁2号线至人民广场站，步行即可到达。

3. **萧然山街**
   - 特色：萧然山街位于杭州市萧山区，是一个充满创意和艺术气息的街区。街区内的建筑风格多样，有许多创意店铺、咖啡馆和艺术工作室，非常适合拍照。
   - 地址：杭州市萧山区萧然山街
   - 开放时间：全天开放
   - 交通：地铁2号线至人民广场站，步行即可到达。

4. **天目里**
   - 特色：天目里位于杭州市西湖区，是一个集艺术、设计、文化于一体的综合空间。由日本著名建筑师坂茂设计，建筑风格简约现代，非常适合拍摄时尚和艺术风格的照片。
   - 地址：杭州市西湖区天目山路398号
   - 开放时间：全天开放，具体场馆开放时间可能有所不同，请提前查询
   - 交通：地铁2号线至学院路站，步行即可到达。

5. **良渚玉鸟集**
   - 特色：良渚玉鸟集位于杭州市余杭区，是一个集文化、艺术、生活、轻度假于一体的商业街区。街区内的建筑风格现代，环境优美，非常适合拍照。
   - 地址：杭州市余杭区良渚文化村玉鸟流苏路
   - 开放时间：全天开放
   - 交通：地铁2号线至良渚站，步行即可到达。

#杭州打卡# #艺术街区# #拍照圣地# #文艺范# #旅行推荐# #周末去哪儿# #杭州遛娃好去处# #杭州旅游# #杭州玉鸟集# #东巢艺术公园#"
"校园民工的寒假又来了。刚结束和闺蜜的三天两晚杭州City Walk，街头已经充满了年味，非常适合City Walk。迫不及待想和大家分享这三次City Walk的路线：

**Day1：西湖路线**
- 起点：龙翔桥地铁站
- 经过：湖滨 -> 公园码头 -> 三潭印月 -> 花港观鱼 -> 太子湾公园 -> 雷峰塔 -> 观光车过苏堤 -> 西冷桥 -> 孤山 -> 白堤 -> 断桥残雪 -> 武林夜市 -> 凤起路地铁站

**Tips:**
- 这一圈大约十几公里，建议预留一整天时间。如果不常走路可能会有些累，可以选择坐船、电瓶车或步行。
- 从龙翔桥地铁站步行到钱王祠码头坐船到花港观鱼码头。
- 苏堤建议乘坐观光车，会省力很多。不过对于每天走2万步的我来说还可以接受。
- 西泠桥看日落非常美。

**Day2：大运河路线**
- 起点：5号线大运河站
- 经过：拱宸桥 -> 桥西历史街区 -> 小河公园 -> 小河直街 -> 大兜路 -> 香积寺 -> 3号线香积寺站

**Tips:**
- 桥西历史街区有四个博物馆（伞和扇、刀剑剪），适合带孩子参观。
- 小河公园具有浓厚的工业风格。
- 小河直街环境优美，有许多特色文艺小店。
- 大兜路融合了清末明初的古建筑与现代文艺元素，有很多创意餐厅和咖啡厅，适合拍照打卡。
- 香积寺是隐藏在城市中的宋代古庙，国内唯一的供奉厨神的古庙，素面特别好吃。

**Day3：茶山秘境路线**
- 起点：龙井村
- 经过：九溪烟村 -> 理安寺 -> 杨梅岭 -> 白鹤峰 -> 汤屋 -> 下满觉陇 -> 石屋洞 -> 四眼井

**Tips:**
- 可以乘坐27路或87路公交到达龙井村，从龙井村到九溪的路较平坦，适合老人小孩，夏天还可以玩水。
- 龙井村有很多茶室，累了可以停下来喝杯茶，每人约0元，但要注意路边村民推荐的茶叶质量。
- 九溪烟村风景极美，茶园古道、瀑布溪流，宛如世外桃源。
- 即使不是桂花飘香的季节，满觉陇也非常值得一去，有许多文艺咖啡厅和“千与千寻”同款汤屋。从汤屋旁边的小路上去就是当年李叔同创作《送别》的古道，山顶可以俯瞰整个西湖。

总之，杭州真的非常适合City Walk。趁着春节假期，大家一起走起来吧！"
"每次去杭州，都一定要去南宋御街City Walk。这里有许多可爱的店铺，也有古朴幽静的老街氛围，让人忍不住拍照留念。

- **地址**：浙江杭州市上城区南宋御街

适合周末出游、亲子活动和遛娃。也是吃喝玩乐的好去处，尤其推荐给计划宁波周末去哪儿的朋友。此外，对于想要探索杭州周边游或上海周边游的家庭来说，这里也是非常不错的选择。

- **相关话题**：周末好去处、亲子游、遛娃好去处、杭州吃喝玩乐、国庆假期、杭州亲子游、浙江旅游。"
"金铲铲城市Citywalk开启啦，想不想来一场超有趣的城市漫步？杭州（上城）新春漫游Citywalk了解一下！

#新春漫游 #citywalk #杭州旅游 #新春打卡地 #金铲铲新春福星派对 #用金铲铲超能力打开春节"
"适合一人City Walk又不需要暴走的Chill路线 ----小河直街。戴个耳机听着自己的音乐，一个人逛吃可太好了。适合一个人打卡的四家美食咖啡店：

- **中饭与晚饭**：图一。这是一家台式家庭食堂，台式牛肉面是一绝。
  
- **菜包&红包**：图二三四。咖啡是桂花秋梨拿铁很OK。这家店的特色是狗狗，店里两只大金毛菜包和红包轮流上班，图中当天上班的是菜包，它会迎每一位进门的客人并互动。

- **落白集LAYBACK**：图五六七八。这家店的风格是我最喜欢的，店铺的暗调让顾客都能有独立空间感，一杯手冲的时间让你融入其中。

- **WOW Sweet Emporium**：图九十。这是一家很甜的法式风格咖啡店，门口的装饰会吸引很多人拍照打卡。橙香拿铁＋抹茶柚子巴斯克。

#citywalk杭州 #杭州 #一个人的旅行 #杭州网红打卡地 #杭州宝藏咖啡店 #杭州咖啡店 #值得一逛的地方 #今天你喝咖啡了吗 #一个人闲逛"
"这条杭州土著推荐的秋日city walk路线可以亲测好吃好逛好拍好玩。  
🚶‍♀️路线：文二菜市—文化巷—之江饭店—沈塘桥—杭州二百大收藏品市场  
间：2小时  

- **文二菜市**：从这里开始，在杭州最具烟火气的菜市场，可以喝咖啡、吃早餐、买鲜花。如果赶上“荡早市起”市集，不仅可以品尝到各色老字号杭州本土早点，还可以通过打卡盖章免费领取周边。
  
- **文化巷**：从文二菜市出发，沿着文化巷走，可以感受到杭州本地居民的慢生活节奏。

- **杭州二百大收藏品市场**：继续往前走到杭州二百大收藏品市场，这里适合寻宝，运气好的话还能淘到物美价廉的宝贝。可逛指数五颗星。

- **午餐**：逛累了可以在附近的知名苍蝇小馆享用老杭州美食，比如咸惠馄饨、方老大面馆或复兴面王等。

#亲爱的潘帅你一定要尝尝  
#本地人才知道的好地方  
#杭州旅游  
#杭州老字号  
#杭州citywalk路线  
#杭州文旅指南  
#杭州晨经济  
#杭州早市  
#晨启杭州"
"不用人挤人，反向游玩来西湖边上citywalk一下，各种咖啡面包和古着店，好吃好逛好拍，好喜欢！

🚶‍♀️路线概览：武林广场—国大城市广场—狮虎桥路—灯芯巷—武林路女人街—武林夜市—孩儿巷。

1️⃣ 武林广场：白天有音乐喷泉，晚上可以来运河夜游，国大城市广场就在旁边。
 
2️⃣ 国大城市广场：也是一个商场，但是5楼/3楼恒庐美术馆有免费的艺术展，可以来逛逛看看关于老杭州的记忆。

3️⃣ 狮虎桥路：古着一条街，每个店铺都很漂亮，还有拍立得店。

4️⃣ 灯芯巷：在狮虎桥路旁边，咖啡和古着店也是应有尽有。

5️⃣ 武林路女人街：基本都是女装店，很多原创品牌，可以来逛逛。

6️⃣ 武林夜市：小吃美食超多，简直是吃货的天堂！还有琳琅满目的小商品，晚上很热闹！

7️⃣ 孩儿巷：咖啡一条街，还有一些甜品店。

#国庆逛吃日记# #景点前方发来报道# #杭州一日游# #杭州citywalk# #杭州旅游# #杭州旅游攻略# #杭州小众景点# #杭州周末去哪儿# #杭州免费看展# #杭州探店#"
"雨天随手一拍就是大片，萧山CBD实至名归。这两天街头的樱花都开了，整个城市变得粉粉绿绿，一边感叹杭州的春天真美，一边仰望充满先锋感的钢铁建筑。奇妙的感受。

#钱江世纪城# #杭州# #萧山# #citywalk# #建筑设计# #街头摄影#"
"天目里真的非常适合逛街。下车就看到满眼的绿色，环境非常好。B1OCK里面的每一层都极具设计感。很幸运看到了“空间分异”展览，还逛到了许多喜欢的店铺，如梅森马吉拉、观夏、伊索等，都可以试用。在茑屋书店里竟然发现了jellycat，badmarket里还有Tagi，好多可爱的小东西。在附近的魟阳日料吃的晚餐也很不错，是一个值得再去很多次的地方。 

相关话题：周末去哪儿、杭州、杭州citywalk、天目里、杭州天目里、杭州日料、观夏、B1OCK、杭州周末去哪儿。"
超好逛的旧货市场，一逛就是一下午。#杭州周末去哪儿# #杭州周末好去处# #杭州二手# #旧货市场# #小众# #citywalk# #二手家具# #老房翻新#
"你好，我是陆柒。杭州的梅花已经开始陆续开放，西湖周边的景区基本上都可以赏梅，非常适合春天的城市漫步（walking）。上周末我实地走了一遍，整理了这条赏梅路线，包含地点、路线图和花开程度。

**整体路线：**
- **路线图见图2**：钱王祠 -> 长桥 -> 净慈寺 -> 浴鹄湾 -> 慧因高丽寺 -> 都景生故居 -> 郭庄 -> 湛碧楼 -> 孤山

**注意事项：**
- 整条路线大约需要4-5小时，可以根据实际情况调整。
- 慧因高丽寺和都景生故居分别在16:30关门，如果下午才出发，可能会比较赶。

**具体站点信息：**

1. **第一站：钱王祠**
   - 地铁：7号线吴山广场C口出，步行900米。
   - 门票：15元/人，公园年卡/文旅卡免费。
   - 梅花种类：腊梅、白梅、红梅，现在花开得不错，预计下周进入盛花期。

2. **第二站：长桥**
   - 步行：1.8公里，或者乘坐公交车3站，在万松岭路口下车。
   - 观察结果：只看到一棵红梅，基本都是花苞。

3. **第三站：净慈寺**
   - 地铁：步行600米，或者乘坐公交车1站，在雷峰塔站下车。
   - 门票：10元/人，寺庙卡免费。
   - 观察结果：没有找到网红机位，只看到入口处的几棵梅花。

4. **第四站：浴鹄湾**
   - 公交：乘坐2站，在赤山埠站下车，再步行350米。
   - 观察结果：只看到一棵红梅，还没有完全盛开。

5. **第五站：慧因高丽寺**
   - 步行：650米，注意关门时间16:30。
   - 观察结果：黄墙红梅，非常漂亮。

6. **第六站：都景生故居**
   - 公交：乘坐2站，在茅家埠站下车，注意关门时间16:30。
   - 观察结果：大部分还是花苞状态，盛花期还需要等待1-2周。

7. **第七站：郭庄**
   - 步行：1.7公里，公交车无法直达。
   - 观察结果：园林湖景，梅花不多，大部分是花苞。

8. **第八站：湛碧楼**
   - 步行：500米。
   - 状态：正在装修，不能进入。

9. **第九站：孤山公园**
   - 步行：1公里，公交车无法直达且需要换乘。
   - 观察结果：白梅基本上开了，绿梅大多是花苞。夕阳下的西泠桥非常美丽。

**当前情况和建议：**
- 目前西湖景区的梅花盛开程度约为50%，预计再过1-2周会全面盛开。
- 如果时间充足，可以考虑增加【植物园】-灵峰探梅作为额外一站。

希望这些信息对你有帮助！"
"亚运会将至，近期来杭旅行的朋友不妨先看看这本《如诗如画的中国》，一览这座魅力之城的风采。

- 横向的大开本几乎可以摊平，每一页都像长卷，真的有“人在画中游”的感觉。有图有真相！真想把每一页都拍给大家。
- 适读年龄：3~8岁
- 杭州地标：西湖、雷峰塔、灵隐寺
- 白居易实在太爱杭州了，写了200多首诗赞美杭州。
- 南宋时，杭州改称“临安”
- 杭州是国内最早一批“福利城市”

这套书第一辑出版了4册，是国家历史文化名城中有代表性的城市：北京、西安、南京和杭州。这些城市都有2000年以上的历史，地理位置上有东部、南部和中部，城市性格迥异。

大家还想了解哪座城市的历史画卷呢？也许下一册出版的就是你的家乡！

#杭州旅行 #杭州 #杭州亚运会 #亚运会 #小众旅行地 #北京旅行 #旅行攻略 #citywalk #cityboat #来小红书买一本好书 #中信童书 #地理启蒙绘本 #幼小衔接"
"大井巷是一条隐藏着历史韵味的小众老巷子，这里有着悠久的历史和文艺的店铺。与其他广为人知的景点不同，大井巷保持着一周低调的魅力。

跟着我的这条路线：
1. 鼓楼
2. 南宋书房
3. 九墙（有艺术装置）
4. 大井巷
5. 环翠楼（有市集）
6. 胡庆余堂
7. 四拐角

大井巷不到400米，浓缩了杭州从五代十国到现在的历史和文化。虽然很多老字号的店铺早已消失不见，但我们依旧可以欣赏到许多保存完好的明清建筑和历史悠久的文物。

如今的大井巷已经逐渐成为文艺的一部分了，石板路两边鳞次栉比地开了很多咖啡店，每家都有自己的特色。毕竟在这样一条“卷”疯了的咖啡小路上，没有特色就意味着没有客源。

在这里，你可以和朋友一起漫步石板路，也可以喝点东西拍拍照。拍不过瘾没关系，大井巷里有条上山的小坡——环翠楼。下面有个森系集市，上面零星开着8家店铺，樨樾餐厅、廿四茶制、最顶上的“珠联璧合”，白墙黑瓦，俯瞰全景美得不要不要的。

如果你想有一次不一样的City Walk之旅，大井巷一定是一个不错的选择。当然两边的吴山广场和鼓楼，也能让你感受到很多不同的杭州气息。

#清河坊新玩法 #清河坊citywalk #杭州 #citywalk #杭州经典线路 #杭州小众线路 #人间烟火气 #杭州旅游 #杭州攻略 #城市探寻计划 #杭州必打卡"
"南山路靠近地铁吴山广场站C口，从C口出来后沿着道路一直走。沿途的房子装修风格各异，有欧式、中式古典、田园风等，随手一拍都是美景。路边的树木高大且绿意盎然，非常适合与朋友进行城市漫步，边走边聊天。途中还会经过中国美院、美术展览馆，以及网络上非常火的树叶小人儿，是拍照的好地方，非常出片。 

#citywalk #杭州citywalk #杭州 #拍照姿势 #拍照 #杭州打卡 #杭州旅游"
"一张图看懂怎么玩转杭州精华景点 先收藏起来，肯定要用到

📍杭州地铁沿线景点
- 1号线：西湖景区、南宋御街、河坊街、十五奎巷西湖十景、京杭大运河
- 2号线：西湖、良渚文化村
- 3号线：浙江省博物馆、西溪湿地国·家公园、宝石山植物园
- 4号线：丝绸博物馆、六和文化公园
- 5号线：京杭大运河博物馆
- 6号线：云栖小镇、灵山景区、宋城

💡出行小提示
1. 杭州站、杭州东站都离西湖较近，买票建议选这两个火车站。
2. 去灵隐寺要买两次门票，飞来峰景区门票45元和寺庙门票30元。
3. 灵隐寺附近还有法喜寺、财神庙，可以一起逛。
4. 遇到大风大雨等恶劣天气，西湖游船不开放，别跑空了，想坐摇橹船可以提前在网上预约好。
5. 西湖景区都是石子路，寄存点少，拉着箱子非常难走，不要带行李去景点。

🧡去杭州可以做的事
- 去南宋御街感受市井生活
- 去湖滨银泰in77感受潮人聚集地
- 去住一家直观西湖的民宿
- 去灵隐寺上香，祈福一生平安喜乐
- 去宝石山，和心爱之人欣赏日落
- 去西湖，看波光粼粼和很美的日落

🥓杭州美食
👍杭州打卡美食
🌟茶人村 • 水墨西溪
杭州旅游必吃！藏在水墨西溪的茶人村，杭帮菜绝对让你欲罢不能。湿地国家公园里的茶人村，就像是进入了仙境一般。古香古色的两层楼餐厅。

#杭州 #杭州旅游攻略 #杭州旅游 #杭州美食 #杭州拍照 #寒假旅游攻略 #西湖游玩路线 #西湖旅游攻略 #杭州citywalk #杭州蛇年旅游攻略"
